date,state_name,district_name,market_name,variety,p_min,p_max,p_modal
2022-04-10,Punjab,Mansa,Bareta,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Firozpur,Zira,Other,2015.0,2020.0,2015
2022-04-10,Punjab,Jalandhar,Shakot (Malsian),Other,2015.0,2015.0,2015
2022-04-10,Punjab,Firozpur,Abohar,Other,2015.0,2020.0,2015
2022-04-10,Punjab,Barnala,Mehal Kallan (ChananWal),PBW-343,2015.0,2015.0,2015
2022-04-10,Punjab,Jalandhar,Jalandhar City,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Barnala,Mehal Kalan,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),Other,2015.0,2015.0,2015
2022-04-10,Punjab,Firozpur,Guru Har Sahai,Medium,2015.0,2015.0,2015
2022-04-10,Punjab,Fatehgarh Sahib,Sirhind,Other,2015.0,2020.0,2015
2022-04-10,Punjab,Firozpur,Jalalabad,Other,2015.0,2020.0,2015
2022-04-10,Punjab,Sangrur,Sherpur,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Ludhiana,Hathur,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Sangrur,Sulargharat,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Sangrur,Bhawanigarh,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Bathinda,Maur,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Bathinda,Sangat,Other,2015.0,2020.0,2015
2022-04-10,Punjab,Faridkot,Jaitu,Local,2015.0,2015.0,2015
2022-04-10,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Mansa,Boha,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Mansa,Budalada,147 Average,2015.0,2015.0,2015
2022-04-10,Punjab,Muktsar,Malout,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Mansa,Bhikhi,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015
2022-04-10,Punjab,Patiala,Samana(Gajewas),Hybrid,2015.0,2015.0,2015
2022-04-10,Punjab,Patiala,Samana,Hybrid,2015.0,2015.0,2015
2022-04-10,Punjab,Patiala,Samana(Kakrala),Hybrid,2015.0,2015.0,2015
2022-04-10,Punjab,Patiala,Patran(Ghagga Mandi),Other,2015.0,2015.0,2015
2022-04-10,Punjab,Sangrur,Sandaur,Other,2015.0,2015.0,2015
2022-04-10,Punjab,Mansa,Mansa,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Patiala,Samana(Gajewas),Hybrid,2015.0,2015.0,2015
2022-04-11,Punjab,Patiala,Samana(Kakrala),Hybrid,2015.0,2015.0,2015
2022-04-11,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015
2022-04-11,Punjab,Fatehgarh Sahib,Sirhind,Other,2015.0,2020.0,2015
2022-04-11,Punjab,Patiala,Samana,Hybrid,2015.0,2015.0,2015
2022-04-11,Punjab,Patiala,Bhadson,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Patiala,Patran(Ghagga Mandi),Other,2015.0,2015.0,2015
2022-04-11,Punjab,Mansa,Boha,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Patiala,Dakala,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Mansa,Bhikhi,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Mansa,Mansa,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Tarn Taran,Patti,147 Average,2015.0,2015.0,2015
2022-04-11,Punjab,Tarn Taran,Tarantaran,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Sangrur,Sulargharat,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Sangrur,Sandaur,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Sangrur,Sherpur,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Faridkot,Jaitu,Local,2015.0,2015.0,2015
2022-04-11,Punjab,Mansa,Budalada,147 Average,2015.0,2015.0,2015
2022-04-11,Punjab,Amritsar,Rayya,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Fatehgarh Sahib,Amloh(Gobind Garh Mandi),147 Best,2015.0,2015.0,2015
2022-04-11,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Moga,Badhni Kallan (Bilaspur),Other,2015.0,2015.0,2015
2022-04-11,Punjab,Faridkot,Jaitu(Bajakhana),Other,2015.0,2015.0,2015
2022-04-11,Punjab,Barnala,Mehal Kalan,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Barnala,Mehal Kallan (ChananWal),PBW-343,2015.0,2015.0,2015
2022-04-11,Punjab,Moga,Kot ise Khan,Other,2015.0,2025.0,2020
2022-04-11,Punjab,Moga,Badhni Kalan,343,2015.0,2015.0,2015
2022-04-11,Punjab,Firozpur,Abohar,Other,2015.0,2020.0,2015
2022-04-11,Punjab,Firozpur,Zira,Other,2015.0,2020.0,2015
2022-04-11,Punjab,Firozpur,Guru Har Sahai,Medium,2015.0,2015.0,2015
2022-04-11,Punjab,Firozpur,Firozepur City,147 Average,2015.0,2015.0,2015
2022-04-11,Punjab,Firozpur,Jalalabad,Other,2015.0,2020.0,2015
2022-04-11,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),Other,2015.0,2015.0,2015
2022-04-11,Punjab,Jalandhar,Jalandhar City,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Jalandhar,Shakot (Malsian),Other,2015.0,2015.0,2015
2022-04-11,Punjab,Ludhiana,Hathur,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Bathinda,Sangat,Other,2015.0,2020.0,2015
2022-04-11,Punjab,Bathinda,Maur,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015
2022-04-11,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),Medium,2015.0,2015.0,2015
2022-04-11,Punjab,Ludhiana,Jagraon,Other,2015.0,2020.0,2018
2022-04-11,Punjab,Amritsar,Majitha,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Ludhiana,Mullanpur,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Jalandhar,Noor Mehal,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Jalandhar,Nakodar(Sarih),Other,2015.0,2015.0,2015
2022-04-12,Punjab,Jalandhar,Jalandhar Cantt.,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Jalandhar,Jalandhar City,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Jalandhar,Nakodar,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Barnala,Mehal Kalan,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Moga,Kot ise Khan,Other,2015.0,2025.0,2020
2022-04-12,Punjab,Jalandhar,Shakot (Malsian),Other,2015.0,2015.0,2015
2022-04-12,Punjab,Ludhiana,Sahnewal,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Muktsar,Bariwala,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Shahid Bhagat Singh Nagar,Nawan Shahar(Mandi Jadla),Other,2015.0,2015.0,2015
2022-04-12,Punjab,Bathinda,Sangat,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Faridkot,Jaitu,Local,2015.0,2015.0,2015
2022-04-12,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Hoshiarpur,Dasuya,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Hoshiarpur,Garhshankar(Saila Khurd),Medium,2015.0,2015.0,2015
2022-04-12,Punjab,Faridkot,Jaitu(Bajakhana),Other,2015.0,2015.0,2015
2022-04-12,Punjab,Amritsar,Rayya,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Kapurthala,Dhilwan,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Shahid Bhagat Singh Nagar,Nawanshahar,Medium,2015.0,2015.0,2015
2022-04-12,Punjab,Ludhiana,Hathur,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Patiala,Samana,Hybrid,2015.0,2015.0,2015
2022-04-12,Punjab,Firozpur,Jalalabad,Other,2015.0,2020.0,2015
2022-04-12,Punjab,Ludhiana,Jagraon,Other,2015.0,2020.0,2018
2022-04-12,Punjab,Patiala,Samana(Gajewas),Hybrid,2015.0,2015.0,2015
2022-04-12,Punjab,Patiala,Samana(Kakrala),Hybrid,2015.0,2015.0,2015
2022-04-12,Punjab,Mansa,Bhikhi,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Mansa,Mansa,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Mansa,Boha,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Tarn Taran,Tarantaran,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Patiala,Bhadson,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Sangrur,Amargarh,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Sangrur,Sherpur,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Sangrur,Sulargharat,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015
2022-04-12,Punjab,Sangrur,Sandaur,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Sangrur,Bhawanigarh,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Firozpur,Firozepur City,147 Average,2015.0,2015.0,2015
2022-04-12,Punjab,Firozpur,Abohar,Other,2015.0,2020.0,2015
2022-04-12,Punjab,Firozpur,Guru Har Sahai,Medium,2015.0,2015.0,2015
2022-04-12,Punjab,Firozpur,Zira,Other,2015.0,2020.0,2015
2022-04-12,Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi),Other,2015.0,2015.0,2015
2022-04-12,Punjab,Patiala,Dakala,Other,2015.0,2015.0,2015
2022-04-12,Punjab,Fatehgarh Sahib,Amloh(Gobind Garh Mandi),147 Best,2015.0,2015.0,2015
2022-04-12,Punjab,Tarn Taran,Patti,147 Average,2015.0,2015.0,2015
2022-04-12,Punjab,Shahid Bhagat Singh Nagar,Nawan Shahar(MandiRaho),Other,2015.0,2015.0,2015
2022-04-13,Punjab,Jalandhar,Nakodar,Other,2015.0,2015.0,2015
2022-04-13,Punjab,Sangrur,Sherpur,Other,2015.0,2015.0,2015
