date,state,avg_price,avg_min,avg_max,std_price,record_count
2022-01-01,Punjab,1950.2,1950.2,1952.4,19.3700800204852,5
2022-03-01,Haryana,2050.0,2025.0,2075.0,0.0,2
2022-03-01,Punjab,2022.5,2012.5,2023.75,54.5435605731786,4
2022-04-01,Haryana,2023.111963190184,2019.3435582822085,2029.1123076923077,31.348906807809602,652
2022-04-01,Punjab,2015.224276527331,2015.040996784566,2017.1729686242961,1.5557297746838858,1244
2022-05-01,Haryana,2037.2193675889328,2031.5810276679842,2044.300395256917,44.189081243965354,253
2022-05-01,Punjab,2018.7449856733524,2016.590257879656,2021.6074498567336,31.749482017900085,349
2022-06-01,Haryana,2151.5714285714284,2146.0714285714284,2154.8214285714284,368.83414204574984,28
2022-06-01,Punjab,2025.0,2025.0,2025.0,0.0,3
2022-07-01,Haryana,1977.0,1977.0,1977.0,66.68583057891684,3
2022-07-01,Punjab,2048.6666666666665,2048.6666666666665,2048.6666666666665,28.023799409311607,3
2022-10-01,Punjab,2060.0,2060.0,2060.0,,1
2023-01-01,Haryana,2500.0,2500.0,2500.0,,1
2023-01-01,Punjab,2726.25,2700.0,2755.0,65.49491074376186,4
2023-02-01,Haryana,2200.0,2200.0,2200.0,,1
2023-03-01,Haryana,2150.0,2150.0,2150.0,70.71067811865476,2
2023-04-01,Punjab,2125.0734406438633,2124.851911468813,2125.7600806451615,1.390385209288983,994
2023-04-01,Haryana,2131.353246753247,2129.4155844155844,2133.9609882964887,51.9198381432945,770
2023-05-01,Haryana,2131.3772151898734,2129.6455696202534,2135.711392405063,26.020628039993433,395
2023-05-01,Punjab,2122.9080996884736,2122.665109034268,2123.5358255451715,56.25035382633212,642
2023-06-01,Haryana,2205.3636363636365,2196.909090909091,2209.5454545454545,43.57125824961376,11
2023-06-01,Punjab,2130.0,2130.0,2130.0,0.0,2
2023-07-01,Haryana,2201.25,2201.25,2201.25,2.4999999999999623,4
2023-08-01,Haryana,2163.3333333333335,2161.6666666666665,2163.3333333333335,45.01851470969103,6
2023-09-01,Haryana,2169.0,2169.0,2169.0,87.94316346368257,4
2023-10-01,Haryana,2300.0,2300.0,2300.0,,1
2023-10-01,Punjab,2203.0,2203.0,2203.0,0.0,10
2023-11-01,Haryana,2130.0,2130.0,2130.0,,1
2023-12-01,Haryana,2250.0,2000.0,2500.0,,1
2023-12-01,Punjab,2575.0,2550.0,2625.0,35.35533905932738,2
2024-01-01,Haryana,2300.0,2300.0,2300.0,,1
2024-02-01,Haryana,2250.0,2250.0,2250.0,70.71067811865476,2
2024-04-01,Punjab,2276.7960893854747,2276.7132216014897,2277.955098222638,31.68408162619306,1074
2024-04-01,Haryana,2275.0064412238326,2274.4460547504027,2276.3333333333335,4.650697872554307,621
2024-05-01,Punjab,2275.625,2275.512118842846,2277.2214397496086,14.194615151398938,1280
2024-05-01,Haryana,2275.569502074689,2275.195020746888,2276.441908713693,3.138329097284862,482
2024-06-01,Haryana,2296.25,2295.4166666666665,2297.0833333333335,33.63002023296386,24
2024-06-01,Punjab,2279.0,2279.0,2279.0,2.236067977499758,5
2024-07-01,Haryana,2302.9166666666665,2299.5833333333335,2306.25,54.31223472275574,24
2024-07-01,Punjab,2411.25,2358.125,2440.0,77.90791267350745,8
2024-08-01,Haryana,2390.0,2389.3478260869565,2390.0,146.49697483690105,23
2024-08-01,Punjab,2396.25,2396.25,2488.75,137.68169813014364,4
2024-09-01,Haryana,2560.0,2559.0,2560.0,111.97718021493881,10
2024-09-01,Punjab,2417.5714285714284,2399.1428571428573,2435.285714285714,145.9360841578966,14
2024-10-01,Punjab,2523.3333333333335,2506.6666666666665,2575.8333333333335,162.19330031375117,6
2024-10-01,Haryana,2685.5555555555557,2636.6666666666665,2726.8888888888887,70.73031724640981,9
2024-11-01,Haryana,2785.0,2740.0,2832.0,49.49747468305833,2
2024-11-01,Punjab,2568.5,2568.5,2568.5,351.4320702497141,2
2024-12-01,Haryana,2610.0,2600.0,2610.0,,1
2024-12-01,Punjab,2970.25,2931.625,2995.75,43.88865782539135,8
2025-01-01,Haryana,2603.3333333333335,2603.3333333333335,2603.3333333333335,178.978583448784,3
2025-01-01,Punjab,3050.0,3000.0,3150.0,,1
2025-02-01,Punjab,2908.75,2893.75,2931.25,105.75409482109221,8
2025-02-01,Haryana,2470.0,2460.0,2470.0,0.0,2
2025-03-01,Haryana,2458.75,2435.0,2476.25,227.49803766814594,8
2025-03-01,Punjab,2825.0,2806.6666666666665,2843.3333333333335,212.19095173922943,3
2025-04-01,Haryana,2425.8460898502494,2425.4309484193013,2428.0049916805324,7.54086986052468,1202
2025-04-01,Punjab,2425.481346678799,2425.2322404371585,2427.034734917733,5.547145806638346,1099
2025-05-01,Haryana,2425.7630331753553,2425.6516587677725,2426.627962085308,17.051849344716473,422
2025-05-01,Punjab,2425.504120879121,2425.370879120879,2426.778846153846,1.5128917069203311,728
2025-06-01,Haryana,2460.75,2453.875,2461.75,72.12637718417785,8
2025-06-01,Punjab,2445.0,2445.0,2445.0,7.0710678118654755,2
2025-07-01,Haryana,2500.0,2500.0,2500.0,0.0,3
2025-07-01,Punjab,2526.0,2496.2,2530.0,42.0416460191558,5
2025-08-01,Haryana,2490.0,2478.75,2490.0,33.380918415851184,8
2025-08-01,Punjab,2555.25,2540.875,2573.75,75.54115875909412,16
2025-09-01,Haryana,2495.5,2480.5,2505.5,59.92819777774803,10
2025-09-01,Punjab,2556.7368421052633,2541.5,2567.875,85.32020869463402,19
2025-10-01,Punjab,2561.6666666666665,2566.4,2572.0,55.749439459065414,9
