state,crop,accuracy,mae,rmse,records,date_range,avg_price
Punjab,Wheat,25.6247305966123,0.8739016666666665,1.3549827813071615,139,2011-2023,19.058633093525177
Madhya Pradesh,Wheat,-46.58511057040513,2.1882247757073907,2.702690397026467,272,1994-2023,14.163899859943978
Uttar Pradesh,Wheat,-78.46606015279272,2.685902177688975,3.268169996040302,270,1994-2023,13.787415469715471
Haryana,Wheat,-80.31419668328459,1.6126154166666695,2.0724557190761055,142,2011-2023,19.07105633802817
Rajasthan,Wheat,-179.23321452114968,3.32852984848487,3.6337651568291784,287,1994-2025,15.341884104861457
