feature,shap_importance
avg_min,142.36083599813952
avg_max,100.3987075472383
price_rolling_3,6.842024306474418
year,2.923431679604603
price_lag_2,2.4894038687926616
price_lag_1,1.8766432531968646
std_price,1.7423915379410042
quarter,1.2551851883152019
month,0.5736599843841825
state_encoded,0.2840315322712864
