crop,category,records,accuracy,mae,rmse,avg_price,date_range
Tomatoes,Vegetable,125,95.84866047146795,185.664207377952,327.6162879379454,2208.044075174603,2012-2023
Onions,Vegetable,228,91.73697911474993,129.77502328957166,154.0752899003758,1899.9117199248121,2000-2023
Lentils (moong),Pulse,93,89.47077149833179,101.27591105163415,283.7557222877679,4083.162959037378,2015-2023
Potatoes,Vegetable,218,54.71078338562027,249.57548096679264,302.41185119933016,1916.272209480123,2000-2023
Sugar,Other,249,-7.294521494852546,56.68835598446535,76.34160290949154,2848.747341747944,1994-2023
Rice,Food Grain,309,-33.63157868554294,248.32637202974837,301.0680124650759,2285.756010941593,1994-2023
Oil (groundnut),Oil,124,-64.58317660304245,11.765645718392571,14.257999330352515,152.34093097158222,2012-2023
Wheat,Food Grain,304,-103.02593721954669,281.54899254652037,344.05520265266534,2126.757662385129,1994-2023
