date,state_name,district_name,market_name,variety,p_min,p_max,p_modal
2022-04-07,Haryana,Karnal,Nilokheri,Other,2015.0,2020.0,2015.0
2022-04-07,Haryana,Bhiwani,Tosham,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Faridabad,Ballabhgarh,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Ambala,Mullana(saha),Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Jind,Pillukhera,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Kurukshetra,Shahabad,Local,2015.0,2016.0,2015.0
2022-04-07,Haryana,Rewari,Rewari,Other,2016.0,2086.0,2050.0
2022-04-07,Haryana,Jind,Safidon,Other,2021.0,2025.0,2025.0
2022-04-07,Haryana,Panipat,Panipat,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Kurukshetra,Pipli,WL711,2015.0,2020.0,2015.0
2022-04-07,Haryana,Jind,Uchana,Other,2015.0,2016.0,2015.0
2022-04-07,Haryana,Jind,Narwana,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Ambala,Mullana,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Ambala,Ambala City(Subji Mandi),147 Average,1900.0,2020.0,2015.0
2022-04-07,Haryana,Ambala,Shahzadpur,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Ambala,Naraingarh,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Ambala,Barara,Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Fatehgarh Sahib,Sirhind,Other,2015.0,2020.0,2020.0
2022-04-07,Haryana,Gurgaon,Sohna,Other,2015.0,2020.0,2015.0
2022-04-07,Punjab,Sangrur,Sherpur,Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Patiala,Dakala,Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Mansa,Bareta,Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Mansa,Bhikhi,Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Patiala,Patran(Ghagga Mandi),Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015.0
2022-04-07,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Sangrur,Sulargharat,Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Firozpur,Abohar,Other,2015.0,2025.0,2021.0
2022-04-07,Punjab,Firozpur,Firozepur City,147 Average,2015.0,2015.0,2015.0
2022-04-07,Punjab,Sangrur,Bhawanigarh,Other,2015.0,2015.0,2015.0
2022-04-07,Punjab,Mansa,Budalada,147 Average,2015.0,2015.0,2015.0
2022-04-07,Haryana,Mahendragarh,Narnaul,Other,2025.0,2025.0,2025.0
2022-04-07,Haryana,Hisar,Uklana,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Yamunanagar,Bilaspur,Other,2015.0,2015.0,2015.0
2022-04-07,Haryana,Kaithal,Dhand,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Sirsa,Ding,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Jind,Safidon,Other,2015.0,2025.0,2025.0
2022-04-08,Haryana,Gurgaon,Farukh Nagar,Other,2015.0,2031.0,2015.0
2022-04-08,Haryana,Ambala,Mullana(saha),Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Sangrur,Bhawanigarh,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Mansa,Budalada,147 Average,2015.0,2015.0,2015.0
2022-04-08,Punjab,Mansa,Bareta,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Sangrur,Sulargharat,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Patiala,Bhadson,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Mansa,Bhikhi,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Patiala,Patran,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Fatehgarh Sahib,Sirhind,Other,2015.0,2020.0,2015.0
2022-04-08,Punjab,Bathinda,Bhucho,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Ambala,Mullana,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Patiala,Rajpura,Local,2015.0,2020.0,2015.0
2022-04-08,Punjab,Barnala,Mehal Kalan,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Jalandhar,Nakodar,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Firozpur,Firozepur City,147 Average,2015.0,2015.0,2015.0
2022-04-08,Punjab,Firozpur,Abohar,Other,2015.0,2021.0,2021.0
2022-04-08,Punjab,Jalandhar,Jalandhar City,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Patiala,Patran(Ghagga Mandi),Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Faridkot,Sadiq,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Muktsar,Malout,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Mansa,Mansa,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Fatehgarh Sahib,Amloh(Gobind Garh Mandi),147 Best,2015.0,2015.0,2015.0
2022-04-08,Punjab,Tarn Taran,Tarantaran,Other,2015.0,2015.0,2015.0
2022-04-08,Punjab,Patiala,Samana,Hybrid,2015.0,2015.0,2015.0
2022-04-08,Haryana,Hisar,Uklana,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Jind,Pillukhera,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Ambala,Naraingarh,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Ambala,Shahzadpur,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Ambala,Barara,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Hisar,Adampur(Agroha),Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Jind,Narwana,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Panipat,Samalkha,Other,2015.0,2016.0,2016.0
2022-04-08,Punjab,Firozpur,Zira,Other,2015.0,2020.0,2015.0
2022-04-08,Haryana,Rewari,Rewari,Other,2025.0,2082.0,2045.0
2022-04-08,Haryana,Faridabad,Ballabhgarh,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Kurukshetra,Shahabad,Local,2015.0,2017.0,2016.0
2022-04-08,Haryana,Jind,"New Grain Market , Jind",Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Jind,Uchana,Other,2015.0,2016.0,2015.0
2022-04-08,Haryana,Kaithal,Siwan,147 Average,2015.0,2015.0,2015.0
2022-04-08,Haryana,Yamunanagar,Bilaspur,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Bhiwani,Siwani,Other,2050.0,2050.0,2050.0
2022-04-08,Haryana,Kaithal,Dhand,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Jind,Jullana,Other,2015.0,2015.0,2015.0
2022-04-08,Haryana,Kaithal,Cheeka,Other,2015.0,2017.0,2016.0
2022-04-08,Punjab,Bathinda,Maur,Other,2015.0,2015.0,2015.0
2022-04-09,Haryana,Sonipat,"New Grain Market , Sonipat",Other,2015.0,2015.0,2015.0
2022-04-09,Haryana,Kaithal,Siwan,147 Average,2015.0,2015.0,2015.0
2022-04-09,Haryana,Gurgaon,Farukh Nagar,Other,2020.0,2020.0,2020.0
2022-04-09,Haryana,Panipat,Panipat,Other,2015.0,2015.0,2015.0
2022-04-09,Haryana,Jind,Narwana,Other,2015.0,2015.0,2015.0
2022-04-09,Haryana,Kurukshetra,Shahabad,Local,2015.0,2017.0,2016.0
2022-04-09,Haryana,Jind,Uchana,Other,2015.0,2016.0,2015.0
2022-04-09,Haryana,Jind,"New Grain Market , Jind",Other,2015.0,2020.0,2015.0
2022-04-09,Haryana,Rewari,Rewari,Other,2016.0,2080.0,2045.0
2022-04-09,Haryana,Panipat,Samalkha,Other,2015.0,2016.0,2015.0
2022-04-09,Haryana,Bhiwani,Siwani,Other,2015.0,2015.0,2015.0
2022-04-09,Haryana,Jind,Safidon,Other,2015.0,2026.0,2025.0
2022-04-09,Haryana,Karnal,Nilokheri,Other,2015.0,2025.0,2015.0
