state,crop,category,accuracy,mae,records
Tamil Nadu,Rice,Food Grain,92.70162047699964,24.108978346203354,309
Tamil Nadu,Wheat,Food Grain,96.87752854253083,27.37698645572272,304
Tamil Nadu,Potatoes,Vegetable,70.6301403528411,2.1577467346938697,218
Tamil Nadu,Onions,Vegetable,96.53623621478776,0.8119216478696675,228
Tamil Nadu,Tomatoes,Vegetable,80.55160181173628,3.5138157777777854,125
Tamil Nadu,Lentils (moong),Pulse,96.84010328498492,0.7158420396825363,93
Tamil Nadu,Lentils (masur),Pulse,51.34521395197251,1.7327966450216559,106
Tamil Nadu,Lentils (urad),Pulse,93.63923345639316,1.3026520074404626,92
Karnataka,Rice,Food Grain,45.048204458957706,2.0978781721230275,272
Karnataka,Wheat,Food Grain,-174.03095703287974,3.559353131914386,279
Karnataka,Potatoes,Vegetable,93.14306401075143,0.9216453443963414,133
Karnataka,Onions,Vegetable,89.06873346934566,0.9941148279671708,137
Karnataka,Tomatoes,Vegetable,58.418247889829885,7.081983962361712,128
Karnataka,Lentils (moong),Pulse,65.37522404028493,3.082932817159714,107
Karnataka,Lentils (masur),Pulse,20.029682265765214,2.721702514129403,89
Karnataka,Lentils (urad),Pulse,58.93262625809754,3.5941041468947743,107
Andhra Pradesh,Potatoes,Vegetable,21.886510354575826,1.4795273809523795,89
Andhra Pradesh,Lentils (masur),Pulse,73.47634962898823,1.7350527777778144,93
Kerala,Rice,Food Grain,-29.491814915262093,3.4640975416666775,240
Kerala,Wheat,Food Grain,-74.36269613279319,3.2620544444444333,226
Kerala,Potatoes,Vegetable,96.0669812636831,0.8086607712418278,115
Kerala,Onions,Vegetable,97.58077713073106,0.6667811458333359,115
Kerala,Tomatoes,Vegetable,70.68500352086721,5.181477685185177,120
Kerala,Lentils (moong),Pulse,21.47798406459669,2.753279761904764,87
Kerala,Lentils (masur),Pulse,-65.55285303947613,5.735925185185186,124
Kerala,Lentils (urad),Pulse,81.92205944186651,1.2397214285714202,90
